data;konto_id;konto_nazwa;kampania_id;kampania_nazwa;zestaw_id;zestaw_nazwa;status_kampanii;budzet_dzienny_zestawu_pln;wydatek_pln;wyswietlenia;zasieg;czestotliwosc;cpm_pln;klikniecia_all;ctr_all_proc;cpc_all_pln;klikniecia_linku;ctr_linku_proc;cpc_linku_pln;unikalne_klikniecia_linku;wyswietlenia_strony;otwarcia_formularza;ukonczenia_formularza;leady;cpl_pln;leady_kwalifikowane;kontakty;rozmowy;klienci;przychod_pln;uwagi
2026-05-27;1569482637544365;PawelKwiatek;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;ACTIVE;100,00;87,23;1453;1249;1,16;60,03;33;2,27;2,64;11;0,757;7,93;11;;;;4;21,81;;;;;;
2026-05-28;1569482637544365;PawelKwiatek;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;ACTIVE;100,00;121,54;1626;1189;1,37;74,75;37;2,28;3,28;10;0,615;12,15;10;;;;3;40,51;;;;;;
2026-05-29;1569482637544365;PawelKwiatek;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;ACTIVE;100,00;65,44;1361;936;1,45;48,08;20;1,47;3,27;6;0,441;10,91;6;;;;3;21,81;;;;;;
2026-05-30;1569482637544365;PawelKwiatek;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;ACTIVE;110,00;104,82;1945;1485;1,31;53,89;25;1,29;4,19;6;0,308;17,47;6;;;;1;104,82;;;;;;
2026-05-31;1569482637544365;PawelKwiatek;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;ACTIVE;110,00;142,75;2768;1974;1,40;51,57;48;1,73;2,97;20;0,723;7,14;19;;;;4;35,69;;;;;;
2026-06-01;1569482637544365;PawelKwiatek;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;ACTIVE;110,00;131,54;3788;2656;1,43;34,73;67;1,77;1,96;23;0,607;5,72;23;;;;7;18,79;;;;;;
2026-06-02;1569482637544365;PawelKwiatek;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;ACTIVE;110,00;111,92;2483;1777;1,40;45,07;36;1,45;3,11;17;0,685;6,58;17;;;;2;55,96;;;;;;
2026-06-03;1569482637544365;PawelKwiatek;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;ACTIVE;110,00;104,92;1901;1324;1,44;55,19;27;1,42;3,89;15;0,789;6,99;14;;;;0;;;;;;;
2026-06-04;1569482637544365;PawelKwiatek;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;ACTIVE;110,00;79,47;1703;1173;1,45;46,66;30;1,76;2,65;11;0,646;7,22;11;;;;2;39,73;;;;;;
2026-06-05;1569482637544365;PawelKwiatek;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;ACTIVE;110,00;81,97;2164;1468;1,47;37,88;33;1,52;2,48;10;0,462;8,20;10;;;;2;40,98;;;;;;
2026-06-06;1569482637544365;PawelKwiatek;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;ACTIVE;110,00;110,22;2637;1768;1,49;41,80;34;1,29;3,24;10;0,379;11,02;10;;;;2;55,11;;;;;;
2026-06-07;1569482637544365;PawelKwiatek;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;ACTIVE;110,00;139,76;2645;1661;1,59;52,84;36;1,36;3,88;16;0,605;8,73;15;;;;3;46,59;;;;;;
