data_godzina_Europe_Warsaw;poziom;id_elementu;nazwa;zmieniony_parametr;wartosc_przed;wartosc_po;typ_autora;mozliwy_wplyw
2026-05-27 15:37;Kampania;120250261422190581;LeadGen 27.05;Utworzenie kampanii;-;OUTCOME_LEADS / AUCTION;Czlowiek (Pawel Kwiatek, Power Editor);Start kampanii
2026-05-27 15:37;Zestaw;120250261422330581;Cala polska;Utworzenie zestawu + budzet dzienny;-;100,00 zl/dzien;Czlowiek (Power Editor);Start
2026-05-27 15:37;Zestaw;120250261422330581;Cala polska;Zdarzenie optymalizacyjne;-;Conversion leads (QUALITY_LEAD);Czlowiek (Power Editor);KLUCZOWE: optymalizacja na leady konwersyjne, nie na leady formularzowe
2026-05-27 15:37;Zestaw;120250261422330581;Cala polska;Strategia licytacji;-;Automatically bid for actions (Highest volume);Czlowiek (Power Editor);-
2026-05-27 15:37;Zestaw;120250261422330581;Cala polska;Targetowanie;-;PL / wiek 35-65+ (min 25) / jezyk polski / wykluczenie '26.05 WYKLUCZENIE' / Advantage+ audience ON / placementy automatyczne;Czlowiek (Power Editor);-
2026-05-27 15:37;Reklama;x5;5 reklam startowych;Utworzenie reklam;-;Grafika 966 leadow, Grafika 4,18zl, Grafika zdjecie kartki, Grafika 46 leadow, Wideo 41 leadow;Czlowiek (Power Editor);-
2026-05-29 16:43;Reklama;120250419453900581;Wideo google sheets;Dodanie reklamy;-;nowa reklama wideo;Czlowiek (Power Editor);-
2026-05-29 19:41;Zestaw;120250261422330581;Cala polska;Budzet dzienny;100,00 zl;110,00 zl;Czlowiek (Ads Manager App Android);+10%
2026-05-31 12:03;Reklama;120250540270620581;Zajebiste wideo;Dodanie reklamy;-;nowa reklama wideo;Czlowiek (Power Editor);-
2026-06-05 14:17;Reklama;x3;KREDYTY 1/2/3;Dodanie reklam;-;3 nowe kreacje branzowe (kredyty);Czlowiek (Power Editor);Zmiana kata komunikacji na branzowy
2026-06-05 14:54;Reklama;120250997578340581 / 120250997888430581 / 120250997888440581;KREDYTY 1/2/3;Podmiana kreacji;stare creative_id;nowe creative_id;Czlowiek (Power Editor);Reset historii posta
2026-06-09 11:10;Zestaw;120250261422330581;Cala polska;Status;Active;Inactive;Czlowiek (Power Editor);Przerwa 1 minuta - bez wplywu
2026-06-09 11:11;Zestaw;120250261422330581;Cala polska;Status;Inactive;Active;Czlowiek (Power Editor);-
2026-06-09 15:39;Reklama;x4;1-4 Kredyty NOWE 09.06;Dodanie reklam;-;4 nowe kreacje;Czlowiek (Power Editor);-
2026-06-09 15:40;Zestaw;120250261422330581;Cala polska;Budzet dzienny;110,00 zl;120,00 zl;Czlowiek (Power Editor);+9%
2026-06-12 20:26;Zestaw;120250261422330581;Cala polska;Budzet dzienny;120,00 zl;140,00 zl;Czlowiek (Power Editor);+17%
