reklama_id;reklama_nazwa;kreacja_id;format;status;data_utworzenia;kampania_id;kampania_nazwa;zestaw_id;zestaw_nazwa;okres;wydatek_pln;udzial_w_wydatku_proc;wyswietlenia;udzial_w_wysw_proc;zasieg;czestotliwosc;cpm_pln;klikniecia_all;ctr_all_proc;cpc_all_pln;klikniecia_linku;ctr_linku_proc;leady;udzial_w_leadach_proc;cpl_pln;konw_klik_do_leada_proc;leady_kwalifikowane;kontakty;klienci;przychod_pln;uwagi
120250264318640581;Grafika 966 leadow;4507964006107118;OBRAZ;ACTIVE;2026-05-27;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;LIFETIME 2026-05-27..2026-08-03;2073,61;43,5;38631;44,1;14837;2,60;53,68;653;1,69;3,18;223;0,577;36;44,4;57,60;16,1;;;;;Kreacja podmieniona 2026-07-28 17:48
120250264318640581;Grafika 966 leadow;4507964006107118;OBRAZ;ACTIVE;2026-05-27;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;PO RESTARCIE 2026-07-28..2026-08-02;527,80;;9403;;4583;2,05;56,13;135;1,44;3,91;45;0,479;2;;263,90;4,4;;;;;Kreacja podmieniona 2026-07-28 17:48
120250264318640581;Grafika 966 leadow;4507964006107118;OBRAZ;ACTIVE;2026-05-27;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;PRZED PAUZA 2026-05-27..2026-06-24;1467,34;;28119;;10855;2,59;52,18;499;1,77;2,94;173;0,615;34;;43,16;19,7;;;;;Kreacja podmieniona 2026-07-28 17:48
120250264318630581;Grafika 4,18zl za leada;1373958244800023;OBRAZ;ACTIVE;2026-05-27;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;LIFETIME 2026-05-27..2026-08-03;827,77;17,4;13064;14,9;7212;1,81;63,36;258;1,97;3,21;75;0,574;16;19,8;51,74;21,3;;;;;Kreacja podmieniona 2026-07-28 17:48
120250264318630581;Grafika 4,18zl za leada;1373958244800023;OBRAZ;ACTIVE;2026-05-27;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;PO RESTARCIE 2026-07-28..2026-08-02;344,85;;5095;;2912;1,75;67,68;83;1,63;4,15;28;0,550;1;;344,85;3,6;;;;;Kreacja podmieniona 2026-07-28 17:48
120250264318630581;Grafika 4,18zl za leada;1373958244800023;OBRAZ;ACTIVE;2026-05-27;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;PRZED PAUZA 2026-05-27..2026-06-24;348,67;;6205;;3877;1,60;56,19;140;2,26;2,49;38;0,612;15;;23,24;39,5;;;;;Kreacja podmieniona 2026-07-28 17:48
120250997888440581;KREDYTY 3;1623583403108650;OBRAZ;ARCHIVED;2026-06-05;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;LIFETIME 2026-05-27..2026-08-03;497,33;10,4;10117;11,6;4055;2,49;49,16;128;1,27;3,89;46;0,455;11;13,6;45,21;23,9;;;;;Kreacja podmieniona 2026-07-28 17:48
120250540270620581;Zajebiste wideo;1801766904578819;WIDEO;ACTIVE;2026-05-31;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;LIFETIME 2026-05-27..2026-08-03;388,86;8,2;6773;7,7;3910;1,73;57,41;99;1,46;3,93;46;0,679;6;7,4;64,81;13,0;;;;;Kreacja podmieniona 2026-07-28 17:48
120250540270620581;Zajebiste wideo;1801766904578819;WIDEO;ACTIVE;2026-05-31;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;PO RESTARCIE 2026-07-28..2026-08-02;109,97;;1237;;826;1,50;88,90;25;2,02;4,40;9;0,728;0;;;0,0;;;;;Kreacja podmieniona 2026-07-28 17:48
120250540270620581;Zajebiste wideo;1801766904578819;WIDEO;ACTIVE;2026-05-31;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;PRZED PAUZA 2026-05-27..2026-06-24;251,98;;5262;;3096;1,70;47,89;67;1,27;3,76;33;0,627;6;;42,00;18,2;;;;;Kreacja podmieniona 2026-07-28 17:48
120251313146890581;1 Kredyty NOWE 09.06;2415956078910712;OBRAZ;ARCHIVED;2026-06-09;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;LIFETIME 2026-05-27..2026-08-03;159,28;3,3;4293;4,9;2388;1,80;37,10;68;1,58;2,34;25;0,582;3;3,7;53,09;12,0;;;;;
120250419453900581;Wideo google sheets;1316649203766355;WIDEO;ARCHIVED;2026-05-29;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;LIFETIME 2026-05-27..2026-08-03;124,41;2,6;1960;2,2;1295;1,51;63,47;21;1,07;5,92;6;0,306;2;2,5;62,21;33,3;;;;;
120252023481510581;OZE kreacja;36479772001668865;OBRAZ;ARCHIVED;2026-06-20;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;LIFETIME 2026-05-27..2026-08-03;106,68;2,2;2144;2,4;939;2,28;49,76;62;2,89;1,72;27;1,259;2;2,5;53,34;7,4;;;;;
120250997578340581;KREDYTY 1;1637327364009770;OBRAZ;ARCHIVED;2026-06-05;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;LIFETIME 2026-05-27..2026-08-03;100,48;2,1;2108;2,4;1260;1,67;47,67;32;1,52;3,14;8;0,380;2;2,5;50,24;25,0;;;;;
120250997888430581;KREDYTY 2;1511089587152407;OBRAZ;ARCHIVED;2026-06-05;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;LIFETIME 2026-05-27..2026-08-03;69,47;1,5;1595;1,8;998;1,60;43,55;22;1,38;3,16;7;0,439;1;1,2;69,47;14,3;;;;;
120253607230510581;Dodatkowe Wideo;4348183398781102;WIDEO;ACTIVE;2026-07-28;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;LIFETIME 2026-05-27..2026-08-03;61,49;1,3;788;0,9;607;1,30;78,03;14;1,78;4,39;7;0,888;0;0,0;;0,0;;;;;
120253607230510581;Dodatkowe Wideo;4348183398781102;WIDEO;ACTIVE;2026-07-28;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;PO RESTARCIE 2026-07-28..2026-08-02;57,95;;749;;584;1,28;77,37;11;1,47;5,27;6;0,801;0;;;0,0;;;;;
120251313146880581;4 Kredyty NOWE 09.06;3130701753788236;OBRAZ;ARCHIVED;2026-06-09;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;LIFETIME 2026-05-27..2026-08-03;60,77;1,3;1480;1,7;959;1,54;41,06;13;0,88;4,67;5;0,338;0;0,0;;0,0;;;;;
120252023481530581;22 zl za leada;818162701230715;OBRAZ;ARCHIVED;2026-06-20;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;LIFETIME 2026-05-27..2026-08-03;60,15;1,3;1036;1,2;762;1,36;58,06;22;2,12;2,73;8;0,772;0;0,0;;0,0;;;;;
120251313146910581;3 Kredyty NOWE 09.06;1446785397467852;OBRAZ;ARCHIVED;2026-06-09;120250261422190581;LeadGen 27.05;120250261422330581;Cala polska;LIFETIME 2026-05-27..2026-08-03;55,85;1,2;1023;1,2;675;1,52;54,59;13;1,27;4,30;5;0,489;0;0,0;;0,0;;;;;
